id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm138875;When Harry Met Sally...;MOVIE;1989;R;96;['comedy', 'romance', 'drama'];['US'];;tt0098635;7.7;216199.0;15.123;7.4
tm2386;A Nightmare on Elm Street;MOVIE;1984;R;91;['horror'];['GB', 'US'];;tt0087800;7.4;234068.0;48.358;7.3
tm133087;Steel Magnolias;MOVIE;1989;PG;119;['comedy', 'drama', 'romance'];['US'];;tt0098384;7.3;54946.0;11.69;7.2
tm177480;Police Academy;MOVIE;1984;R;97;['crime', 'comedy'];['US'];;tt0087928;6.7;124881.0;25.533;6.6
tm54450;Christine;MOVIE;1983;R;110;['horror', 'thriller', 'european'];['US'];;tt0085333;6.7;81922.0;23.418;6.8
ts22082;Knight Rider;SHOW;1982;TV-PG;51;['scifi', 'action', 'crime', 'drama'];['US'];4.0;tt0083437;6.9;34115.0;50.267;7.5
ts21715;Thomas & Friends;SHOW;1984;TV-Y;10;['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music'];['GB'];24.0;tt0086815;6.5;5104.0;42.196;6.5
ts20678;Saved by the Bell;SHOW;1989;TV-G;23;['family', 'comedy', 'romance'];['US'];5.0;tt0096694;7.1;35034.0;19.855;8.0
tm145608;Awakenings;MOVIE;1990;PG-13;120;['drama', 'european'];['US'];;tt0099077;7.8;139240.0;12.23;7.8
ts25028;Wheel of Fortune;SHOW;1983;TV-G;26;['family'];['US'];39.0;tt0072584;6.7;3145.0;5.935;6.8
tm147710;National Lampoon's Christmas Vacation;MOVIE;1989;PG-13;97;['comedy', 'european'];['US'];;tt0097958;7.5;185760.0;18.862;7.2
tm142895;Lean On Me;MOVIE;1989;PG-13;105;['drama'];['US'];;tt0097722;7.4;20680.0;19.449;7.3
tm20712;Eddie Murphy Raw;MOVIE;1987;R;90;['comedy', 'documentation'];['US'];;tt0092948;7.6;19757.0;7.992;7.3
tm117580;She's Gotta Have It;MOVIE;1986;R;84;['romance', 'comedy'];['US'];;tt0091939;6.7;14472.0;7.416;6.707
ts23753;Major Dad;SHOW;1989;TV-PG;24;['comedy', 'family'];['US'];4.0;tt0096643;6.5;2922.0;9.849;6.5
tm130586;Endless Love;MOVIE;1981;R;116;['romance', 'drama'];['US'];;tt0082329;4.9;8524.0;19.116;5.7
ts987;Danger Mouse;SHOW;1981;TV-Y;14;['animation', 'comedy', 'family', 'scifi', 'european'];['GB'];10.0;tt0081848;7.4;3545.0;8.55;7.5
